Date,Time,Open,High,Low,Close,Volume
20120902,22:00:00,2.7956,2.8039,2.7956,2.8030,84
20120902,23:00:00,2.8019,2.8040,2.8006,2.8019,32
20120903,00:00:00,2.8006,2.8038,2.7957,2.7988,76
20120903,01:00:00,2.7976,2.7998,2.7925,2.7945,72
20120903,02:00:00,2.7928,2.7959,2.7928,2.7959,20
20120903,03:00:00,2.7967,2.7978,2.7876,2.7940,84
20120903,04:00:00,2.7915,2.7986,2.7786,2.7830,144
20120903,05:00:00,2.7839,2.7839,2.7796,2.7809,84
20120903,06:00:00,2.7800,2.7839,2.7787,2.7796,64
20120903,07:00:00,2.7786,2.7860,2.7778,2.7850,84
20120903,08:00:00,2.7859,2.7860,2.7815,2.7850,76
20120903,09:00:00,2.7838,2.7859,2.7797,2.7828,104
20120903,10:00:00,2.7815,2.7845,2.7795,2.7810,84
20120903,11:00:00,2.7816,2.7848,2.7775,2.7777,120
20120903,12:00:00,2.7785,2.7887,2.7775,2.7879,144
20120903,13:00:00,2.7885,2.7918,2.7790,2.7800,180
20120903,14:00:00,2.7790,2.7838,2.7725,2.7815,168
20120903,15:00:00,2.7827,2.7839,2.7758,2.7789,148
20120903,16:00:00,2.7777,2.7827,2.7755,2.7827,84
20120903,17:00:00,2.7839,2.7898,2.7826,2.7857,44
20120903,22:00:00,2.7899,2.7950,2.7885,2.7950,48
20120903,23:00:00,2.7955,2.7959,2.7919,2.7927,28
20120904,00:00:00,2.7916,2.7959,2.7916,2.7957,44
20120904,01:00:00,2.7946,2.7959,2.7927,2.7948,24
20120904,02:00:00,2.7937,2.7959,2.7905,2.7937,136
20120904,03:00:00,2.7959,2.7979,2.7956,2.7978,40
20120904,04:00:00,2.7966,2.8018,2.7966,2.7970,116
20120904,05:00:00,2.7976,2.8006,2.7965,2.7965,104
20120904,06:00:00,2.7976,2.7976,2.7945,2.7949,68
20120904,07:00:00,2.7937,2.7950,2.7899,2.7909,72
20120904,08:00:00,2.7928,2.7949,2.7805,2.7919,140
20120904,09:00:00,2.7908,2.7939,2.7817,2.7839,184
20120904,10:00:00,2.7829,2.7859,2.7675,2.7759,176
20120904,11:00:00,2.7767,2.7840,2.7596,2.7778,184
20120904,12:00:00,2.7790,2.7959,2.7725,2.7858,220
20120904,13:00:00,2.7848,2.8567,2.7836,2.8495,240
20120904,14:00:00,2.8505,2.8839,2.8505,2.8645,236
20120904,15:00:00,2.8655,2.8689,2.8485,2.8548,208
20120904,16:00:00,2.8536,2.8787,2.8496,2.8609,240
20120904,17:00:00,2.8599,2.8758,2.8528,2.8606,240
20120904,18:00:00,2.8596,2.8687,2.8425,2.8456,212
20120904,19:00:00,2.8465,2.8526,2.8416,2.8435,164
20120904,20:00:00,2.8426,2.8508,2.8379,2.8485,148
20120904,21:00:00,2.8500,2.8509,2.8456,2.8477,56
20120904,22:00:00,2.8489,2.8617,2.8476,2.8605,144
20120904,23:00:00,2.8599,2.8626,2.8587,2.8598,52
20120905,00:00:00,2.8605,2.8647,2.8557,2.8573,60
20120905,01:00:00,2.8594,2.8619,2.8528,2.8558,64
20120905,02:00:00,2.8550,2.8550,2.8505,2.8527,28
20120905,03:00:00,2.8540,2.8559,2.8447,2.8507,196
20120905,04:00:00,2.8515,2.8659,2.8510,2.8540,132
20120905,05:00:00,2.8530,2.8548,2.8526,2.8537,52
20120905,06:00:00,2.8550,2.8566,2.8516,2.8560,80
20120905,07:00:00,2.8546,2.8629,2.8525,2.8565,144
20120905,08:00:00,2.8557,2.8590,2.8466,2.8466,144
20120905,09:00:00,2.8477,2.8547,2.8466,2.8537,100
20120905,10:00:00,2.8519,2.8539,2.8275,2.8307,156
20120905,11:00:00,2.8317,2.8358,2.8255,2.8337,188
20120905,12:00:00,2.8350,2.8538,2.8105,2.8229,240
20120905,13:00:00,2.8206,2.8246,2.8005,2.8135,240
20120905,14:00:00,2.8130,2.8359,2.8097,2.8109,236
20120905,15:00:00,2.8118,2.8217,2.8095,2.8156,224
20120905,16:00:00,2.8145,2.8218,2.7969,2.8096,228
20120905,17:00:00,2.8089,2.8107,2.7827,2.7978,232
20120905,18:00:00,2.7969,2.7990,2.7775,2.7946,196
20120905,19:00:00,2.7960,2.7969,2.7908,2.7949,128
20120905,20:00:00,2.7959,2.7976,2.7865,2.7948,92
20120905,21:00:00,2.7935,2.7977,2.7909,2.7909,40
20120905,22:00:00,2.7999,2.8005,2.7866,2.7935,160
20120905,23:00:00,2.7929,2.7970,2.7915,2.7944,88
20120906,00:00:00,2.7935,2.8018,2.7895,2.7955,204
20120906,01:00:00,2.7968,2.7978,2.7945,2.7960,36
20120906,02:00:00,2.7969,2.7999,2.7969,2.7989,44
20120906,03:00:00,2.7976,2.8000,2.7948,2.7977,52
20120906,04:00:00,2.7969,2.7978,2.7927,2.7966,100
20120906,05:00:00,2.7959,2.7998,2.7949,2.7988,100
20120906,06:00:00,2.7980,2.7998,2.7925,2.7926,104
20120906,07:00:00,2.7937,2.7937,2.7836,2.7875,120
20120906,08:00:00,2.7866,2.7890,2.7785,2.7818,172
20120906,09:00:00,2.7805,2.7918,2.7796,2.7828,176
20120906,10:00:00,2.7835,2.7899,2.7819,2.7869,208
20120906,11:00:00,2.7878,2.7890,2.7759,2.7817,212
20120906,12:00:00,2.7809,2.8168,2.7785,2.7946,228
20120906,13:00:00,2.7936,2.8006,2.7626,2.7825,240
20120906,14:00:00,2.7816,2.8626,2.7757,2.7816,240
20120906,15:00:00,2.7809,2.8407,2.7737,2.8338,240
20120906,16:00:00,2.8349,2.8459,2.8267,2.8316,240
20120906,17:00:00,2.8329,2.8387,2.8136,2.8220,236
